,2_differences_1000_sample_mean,2_differences_1_sample_skewness,1_differences_10_sample_kurtosis,0_differences_100_sample_kurtosis,0_differences_1_sample_skewness,1_differences_100_sample_skewness,1_differences_1_sample_kurtosis,2_differences_1000_sample_skewness,1_differences_1000_sample_std,1_differences_1_sample_skewness,0_differences_1_sample_std,0_differences_1_sample_mean,0_differences_100_sample_skewness,1_differences_1_sample_mean,2_differences_10_sample_kurtosis,2_differences_1000_sample_kurtosis,2_differences_1_sample_kurtosis,0_differences_1000_sample_mean,2_differences_1_sample_std,2_differences_10_sample_mean,0_differences_1_sample_kurtosis,0_differences_100_sample_std,0_differences_100_sample_mean,1_differences_1000_sample_mean,1_differences_1_sample_std,2_differences_10_sample_std,2_differences_100_sample_kurtosis,0_differences_10_sample_skewness,1_differences_100_sample_mean,2_differences_1000_sample_std,2_differences_100_sample_std,1_differences_1000_sample_skewness,0_differences_1000_sample_kurtosis,1_differences_10_sample_skewness,0_differences_10_sample_mean,1_differences_100_sample_std,2_differences_1_sample_mean,2_differences_10_sample_skewness,1_differences_1000_sample_kurtosis,1_differences_10_sample_std,2_differences_100_sample_mean,0_differences_1000_sample_std,0_differences_10_sample_std,0_differences_10_sample_kurtosis,2_differences_100_sample_skewness,1_differences_10_sample_mean,0_differences_1000_sample_skewness,1_differences_100_sample_kurtosis
15 Yellow Submarine.m4a,-0.00272666666667,,1.58736833513,3.42529844075,,0.298715483892,,-0.063575996155,14.8268095509,,0.0,-8.60626666667,0.361952348127,-5e-06,2.51489795157,3.87905375739,,-8.60626666667,0.0,-0.00272666666667,,151.061716381,-8.60626666667,-4.99999999976e-06,0.0,0.133762375378,2.96972038407,-0.152700339428,-5e-06,13.8878461271,1.32126265273,-0.284685117015,3.72409971535,0.120547336146,-8.60626666667,1.31510813845,-0.00272666666667,0.58679556562,3.72843539714,0.119973472079,-0.00272666666667,2077.56248818,20.9474193641,2.78170657473,0.127605442339,-5e-06,0.04534821857,3.54371312149
16 Don't You Remember (Live Acoustic).mp3,-0.00214333333333,,2.62473108602,4.14261548844,,-0.269732554095,,-0.0773062997695,3.73119179948,,0.0,0.07864,-0.212625179333,0.00121333333333,2.51120327088,4.83067803151,,0.07864,0.0,-0.00214333333333,,33.6378299972,0.07864,0.00121333333333,0.0,0.0540782777298,3.72058248769,-1.13152090554,0.00121333333333,4.35161960086,0.504499041966,-0.176279147739,4.0708454683,-0.466197268596,0.07864,0.371401227396,-0.00214333333333,-0.399745836517,6.25835715693,0.0438498472061,-0.00214333333333,275.814709099,2.19853927728,4.16878007931,0.0118011266625,0.00121333333333,-0.0409794410496,4.40280564508
16 Eleanor Rigby.mp3,0.00056,,2.75336009346,4.53642233425,,-0.556041237145,,-0.0263486842653,15.1990230148,,0.0,-5.11385,0.170212658628,-0.00338333333333,4.29371223836,5.42226016497,,-5.11385,0.0,0.00056,,75.8881959316,-5.11385,-0.00338333333333,0.0,0.133622988541,6.7560879777,-0.676938388159,-0.00338333333333,12.5086745866,1.32401548634,-0.000336673214443,4.66265265939,0.656144097983,-5.11385,1.56698352868,0.00056,0.718828496274,3.61436784398,0.163521270788,0.00056,715.971345138,5.48300920106,4.00061323688,0.366301238825,-0.00338333333333,0.146072711367,4.06861463022
17 Penny Lane.mp3,0.01583,,3.47016117503,2.50181295578,,-0.150945654608,,0.316027563831,20.8710247666,,0.0,-7.87381333333,-0.155296384106,0.0397883333333,3.74609077481,9.65417474458,,-7.87381333333,0.0,0.01583,,181.113622758,-7.87381333333,0.0397883333333,0.0,0.0481624829786,3.20549139676,0.103812572078,0.0397883333333,6.08407866028,0.574336576205,-0.0399388815399,3.48685434438,0.882084980893,-7.87381333333,2.14780695774,0.01583,1.01732928753,2.8729951286,0.21705025558,0.01583,1477.22663803,23.6414131194,1.98595305489,0.200429028832,0.0397883333333,-0.0280486102651,2.5195234115
17 Someone Like You (Live Acoustic).mp3,-0.000195,,1.698048991,5.05567814965,,0.0459169977447,,0.157648156129,6.00313552936,,0.0,-0.109796666667,0.125434049475,0.000356666666667,1.66124318649,3.56468476961,,-0.109796666667,0.0,-0.000195,,26.9999352848,-0.109796666667,0.000356666666667,0.0,0.0761642363033,3.08848897938,-0.443399278743,0.000356666666667,6.97160120563,0.688957931733,0.00309991455993,3.73133764046,0.196876438182,-0.109796666667,0.523806973046,-0.000195,0.0643640033697,3.13376391135,0.0520780089012,-0.000195,317.375426896,3.14516609782,1.70028984316,0.195723927046,0.000356666666667,-0.048529803447,2.80282325189
18 All You Need Is Love.mp3,-0.00373166666667,,3.57386234406,4.6335240891,,0.070481285659,,-0.385223442534,9.13282328881,,0.0,-5.23393833333,0.148259494896,-0.00228166666667,3.77978811591,5.36866416427,,-5.23393833333,0.0,-0.00373166666667,,15.4980636478,-5.23393833333,-0.00228166666667,0.0,0.190966104679,4.27051357673,0.465066104122,-0.00228166666667,8.9781930977,1.24762870944,-0.0933190338881,15.7949721905,0.530432063202,-5.23393833333,1.19610534158,-0.00373166666667,0.0594083567358,5.57237255289,0.171712322804,-0.00373166666667,180.12448836,1.52036835995,2.40368333478,0.308022404424,-0.00228166666667,0.460287757056,4.99738337404
"19 Hello, Goodbye.m4a",0.00498666666667,,2.11325206204,4.38105377873,,-0.125564268921,,-0.11407811127,12.3318916751,,0.0,-4.36937,0.479861640678,-0.00377666666667,3.91742826452,3.90226116118,,-4.36937,0.0,0.00498666666667,,89.3075058683,-4.36937,-0.00377666666667,0.0,0.258430233095,4.66964907629,-0.0798427263782,-0.00377666666667,13.1105413457,1.66331513395,0.156105110051,6.28213496243,0.0326920963119,-4.36937,1.19894296969,0.00498666666667,-0.953012059584,4.38471806359,0.0831799392215,0.00498666666667,956.615141174,8.52870617953,2.94639778974,0.0814602674684,-0.00377666666667,0.264123676265,3.92695463366
2-13 My Way (with Frank Sinatra).mp3,0.000665,,1.56975423724,2.32529818315,,-0.313572728085,,0.0472968716602,3.77490656523,,0.0,-2.41656833333,-0.141657667288,0.00123666666667,2.84726942256,4.75631542858,,-2.41656833333,0.0,0.000665,,71.0369637519,-2.41656833333,0.00123666666667,0.0,0.0169640542357,3.65207443041,-0.356906659575,0.00123666666667,1.75545656597,0.18033339725,-0.327666678212,4.19340268938,0.236151638059,-2.41656833333,0.399291388434,0.000665,0.769073393332,3.82060214964,0.0284120874121,0.000665,682.344629031,3.90747949207,2.67604262361,0.457701091802,0.00123666666667,0.0540076753642,4.81884281292
20 Lady Madonna.mp3,0.00484,,3.52232575143,3.57560589611,,-0.239008859252,,-0.0362574444317,0.376275810248,,0.0,-6.02843666667,0.434185454689,-0.000346666666667,2.73101749501,3.42157124056,,-6.02843666667,0.0,0.00484,,34.4359126006,-6.02843666667,-0.000346666666667,0.0,0.0756308135323,2.96137988915,0.155763100914,-0.000346666666667,9.34665932162,1.20801335348,0.461057442612,5.01872846498,0.982591987987,-6.02843666667,0.0392561437513,0.00484,0.317201668018,9.47374093077,0.0056776501399,0.00484,264.092973392,2.44659107567,2.17365479758,-0.230886956083,-0.000346666666667,0.306329794675,3.58025032371
21 Hey Jude.mp3,-0.00555833333333,,3.38617651695,3.68316979038,,-0.0964816883602,,-0.125936473309,10.5577813659,,0.0,-5.800935,-0.108547676512,-0.00579666666667,3.04342910443,3.55939911954,,-5.800935,0.0,-0.00555833333333,,31.2704217028,-5.800935,-0.00579666666667,0.0,0.0599894788229,4.46531873854,-1.22016342298,-0.00579666666667,8.51829131288,0.635706835549,0.0167135108431,3.61123119105,0.7527538104,-5.800935,0.74967158016,-0.00555833333333,0.890222220267,3.41471474567,0.0662299163688,-0.00555833333333,485.724262143,5.39926327315,3.86468948593,0.414858617521,-0.00579666666667,-0.0314466887977,4.16479473392
22 Get Back.mp3,0.00640666666667,,2.04653333439,2.5055091559,,0.109545041657,,0.0769144682736,10.6940056857,,0.0,-6.23868,-0.156833635579,0.00251,1.53505507592,5.16546018549,,-6.23868,0.0,0.00640666666667,,124.40477944,-6.23868,0.00251,0.0,0.0821563128027,3.64235402209,-0.896075986013,0.00251,12.8082911552,1.44294860776,-0.164836895728,3.66954170898,-0.437560617247,-6.23868,1.27277645869,0.00640666666667,-0.203072940489,4.53333792112,0.0665296384245,0.00640666666667,1264.74144367,15.3844481516,2.63182197838,0.0782210882965,0.00251,-0.257938367425,3.64933325547
23 The Ballad Of John And Yoko.m4a,-0.0140083333333,,2.53162281987,3.12892263608,,0.200611915215,,0.0468896588692,20.8116012853,,0.0,1.32135,-0.0579875895652,-0.01098,4.70891408511,12.7982349427,,1.32135,0.0,-0.0140083333333,,248.476234822,1.32135,-0.01098,0.0,0.0514202382606,3.4219191544,0.721382780892,-0.01098,6.4348853933,0.533213954022,0.0187755440903,3.0574175929,0.0505605891939,1.32135,1.83556295063,-0.0140083333333,-1.49095692599,3.22241854043,0.121489362543,-0.0140083333333,3409.4631715,33.5341482666,2.75081099024,-0.0412167904487,-0.01098,0.015540924521,3.49187521086
24 Something.mp3,0.00055,,2.22209553813,5.23672979871,,-0.0539060375969,,-0.0193274513615,17.9295960221,,0.0,-4.97876833333,0.0100839992889,0.00401166666667,2.49743934151,4.33454624697,,-4.97876833333,0.0,0.00055,,142.30117307,-4.97876833333,0.00401166666667,0.0,0.134967180784,4.49051682791,-0.888966800898,0.00401166666667,17.23922184,1.10422376167,-0.00519184856078,4.29173494409,0.632069728789,-4.97876833333,1.44838333693,0.00055,0.45177596868,4.34011357156,0.147761497588,0.00055,1622.83344254,10.3399845296,2.43452348563,0.0244787552948,0.00401166666667,-0.143204389352,4.60787116032
25 Come Together.mp3,0.0251583333333,,3.11668570691,5.55961328092,,-0.405878852644,,-0.0149183188422,16.0677465114,,0.0,-10.2160933333,-0.574169332002,0.00667,1.82151596178,4.35024918883,,-10.2160933333,0.0,0.0251583333333,,211.096957608,-10.2160933333,0.00667,0.0,0.182146869197,4.46772490942,-0.160932046571,0.00667,18.1730837344,1.32680670311,0.00200960168571,4.03507462929,-0.827193468262,-10.2160933333,1.49074706141,0.0251583333333,-0.123399265813,4.0969011139,0.10782188136,0.0251583333333,3167.23357636,30.2886762847,2.67865361656,0.0646720481834,0.00667,-0.0205984975102,5.96453818144
26 Let It Be.mp3,0.00878166666667,,2.19819929227,4.21277159388,,-0.326688255381,,-0.0543601447136,8.01897104687,,0.0,-6.27677666667,0.57929035409,-0.0103866666667,3.4833318813,3.34786943901,,-6.27677666667,0.0,0.00878166666667,,40.8813186612,-6.27677666667,-0.0103866666667,0.0,0.0495273725945,3.18103487979,-0.352867661834,-0.0103866666667,4.83302205108,0.449824815712,-0.110290922804,4.32674794792,0.372708039965,-6.27677666667,0.698169523301,0.00878166666667,0.72035694225,4.25099012121,0.0879666025009,0.00878166666667,423.684605095,4.65616202402,1.79237766437,-0.0539557943459,-0.0103866666667,0.0967831333465,5.70256118546
27 The Long And Winding Road.m4a,-0.0118283333333,,3.02360338957,7.74446182158,,-0.412602186017,,-0.290279922968,9.50765902136,,0.0,-3.64912666667,1.19039777968,-0.0200133333333,4.71324058416,13.1686983688,,-3.64912666667,0.0,-0.0118283333333,,36.0361503704,-3.64912666667,-0.0200133333333,0.0,0.0844777712544,5.72439785628,0.72469876021,-0.0200133333333,7.58633188035,0.743176574074,-0.329493661503,11.0291039544,-0.738462588893,-3.64912666667,0.966723655699,-0.0118283333333,-0.600958540195,7.18382707909,0.106145219655,-0.0118283333333,513.374146345,7.14403933225,2.34774004889,-0.0980132588826,-0.0200133333333,0.802557343165,5.10242635795
All I Ask.mp3,0.00460333333333,,1.82983085961,3.20891362864,,-0.0314784894408,,0.0526700331321,9.08689495226,,0.0,-0.86045,0.168967581931,0.00873333333333,2.58305037621,3.95008781484,,-0.86045,0.0,0.00460333333333,,43.0682124128,-0.86045,0.00873333333333,0.0,0.203079640618,3.13504698524,0.243759290879,0.00873333333333,11.4412899978,1.17933894284,0.0656993868737,5.30043258276,-0.148432129628,-0.86045,1.15390081776,0.00460333333333,-0.057005365375,3.95185606309,0.167465748405,0.00460333333333,581.399100711,5.29361902463,1.3264228815,-0.149285692593,0.00873333333333,-0.188763530927,3.14802756642
